dx,dy,dz,ax,ay,az
540.661,-32.159,92.363,109.676,-87.701,67.515
540.661,-9.119,124.619,164.143,-80.683,13.191
557.94,14.305,124.619,164.152,-80.691,13.176
581.748,27.745,112.715,164.151,-80.684,13.18
566.004,-10.655,40.523,164.143,-80.67,13.195
583.284,125.665,54.347,164.173,-80.677,13.158
583.284,81.121,54.347,171.106,-74.965,1.041
668.148,81.121,99.275,171.111,-74.967,1.033
668.148,17.378,99.275,161.27,-71.497,13.064
668.148,122.978,82.763,161.281,-71.507,13.042
668.148,135.65,68.171,160.846,-72.108,8.402
